SN  ,  lost, People, died, Zika, Fisher, International, your, publicist, first, Carrie, virus, best, Trump, actor, years, George, Michael, Breaking, Zsa, daughter, old, role, Actor, longtime, sitcom, Thicke, decades, author, dies, off, now, Reynolds, Turner, Debbie, credit, APR, NextAdvisor, career, John, Star, Singer, Search, Wars, Growing, away, Glenn, Alan, Actress, day, Lake, about,Category
0,12,12,12,0,3,0,0,3,2,2,0,2,0,3,2,1,1,1,2,2,2,2,2,2,3,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,2,0, entertainment
1,12,12,11,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,3,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,2,2, entertainment
2,9,9,9,0,4,0,0,3,1,3,0,4,0,5,2,3,3,1,2,2,2,2,2,2,2,2,1,1,9,0,0,2,1,2,0,0,0,2,1,6,2,1,6,2,2,0,1,2,1,0,0, entertainment
3,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1, entertainment
4,0,0,0,0,0,0,3,0,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3, entertainment
5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0, entertainment
6,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,2,0, entertainment
7,10,10,9,0,4,0,1,3,2,3,0,3,0,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,7,1,0,2,1,2,0,0,0,2,1,1,2,1,1,2,1,0,1,2,1,0,1, entertainment
8,12,12,10,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
9,12,12,13,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,4,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
10,13,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,3,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
11,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,3,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
12,12,12,11,0,3,0,0,3,2,2,0,2,0,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
13,12,12,12,0,3,0,0,3,4,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
14,0,1,2,0,35,0,0,0,1,23,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,6,0,1,6,0,0,0,0,1,0,0,0, entertainment
15,13,13,11,0,3,0,0,3,2,2,0,2,0,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0, entertainment
16,12,12,12,0,3,0,1,3,2,2,0,3,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,2,2, entertainment
17,10,10,9,0,4,0,0,3,1,3,0,2,0,2,2,3,3,1,2,2,2,2,2,2,2,2,2,1,9,1,0,2,1,2,0,0,0,2,1,1,2,1,1,2,1,0,1,2,1,0,0, entertainment
